Source Name	Sample Name	Characteristics: Organism	Characteristics: Strain	Comment: Animal Source	Characteristics: Genotype	Factor Value: Spaceflight	Factor Value: Tissue	Characteristics: sex	Factor Value: Space Mission	Characteristics: Age at Launch	Characteristics: Material Type	Protocol REF	Parameter Value: duration	Parameter Value: habitat	Parameter Value: Enrichment material	Protocol REF	Parameter Value: Euthanasia Method	Parameter Value: Collection Condition	Parameter Value: Sample Preservation Method	Parameter Value: Sample Storage Temperature
RR1_M30	M30_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Rodent Habitat	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR9_Viv11	Viv11_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Viv12	Viv12_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_CC12_CC1	CC12_CC1_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_CC13_CC1	CC13_CC1_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_CC14_CC1	CC14_CC1_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_CC15_CC1	CC15_CC1_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Fviv11_CC2	Fviv11_CC2_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Fviv12_CC2	Fviv12_CC2_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Fviv13_CC2	Fviv13_CC2_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
