Source Name	Sample Name	Factor Value Space Mission	Spaceflight	Tissue	0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000
RR9_F19	F19_sol	RR-9	Space_Flight	soleus_muscle	1	0.99575459	0.99639756	0.99418128	0.99372472	0.99582347	0.99596624	0.99955898	1.00308223	1.00669409	1.00923855	1.0130674	1.01820971	1.01866109	1.01858785	1.02322656	1.02346234	1.02420161	1.02510493	1.02212945	1.02210384	1.02118689	1.01856149	1.01822267	1.01784623	1.01793533	1.01656047	1.01589561	1.0150286	1.0114276	1.0105195	1.00810012	1.00684068	1.00600792	1.00521355	1.0044428	1.0037401	1.0024269	1.0013996	1.0001149	0.99891452	0.99814711	0.99701323	0.99850777	0.99792138	0.99816855	0.99743841	0.99737529	0.99689336	0.99689056	0.99642374
RR9_F20	F20_sol	RR-9	Space_Flight	soleus_muscle	1	0.99987754	1.00054613	1.00184991	1.00346213	1.00295323	1.00455744	1.00569913	1.0060939	1.0075802	1.00862463	1.00891065	1.0086111	1.00925085	1.00897062	1.00984798	1.00961871	1.00916021	1.00830408	1.0080419	1.00953491	1.00913675	1.00813373	1.00777081	1.00688241	1.00623792	1.00504603	1.00560565	1.00471841	1.00461698	1.00553245	1.00557946	1.00546837	1.00456719	1.00368144	1.00256081	1.00279757	1.00237145	1.00163107	1.00288749	1.00211965	1.00122093	1.0011562	1.00059327	0.99947797	0.99775543	0.99736804	0.9993942	0.99802016	0.99871098	0.99795297
RR1_M21	M21_sol	RR-1	Space_Flight	soleus_muscle	1	1.00349898	1.0025906	1.00913694	1.01417841	1.01238004	1.01552603	1.01748882	1.01460381	1.01641036	1.01832643	1.0155993	1.01772716	1.02025465	1.01709781	1.01840355	1.0169825	1.01679636	1.01782505	1.01639322	1.01749892	1.02112161	1.02254425	1.02228876	1.02041843	1.01799201	1.02062732	1.0213208	1.01637704	1.01544625	1.01669058	1.01981048	1.02024324	1.01673445	1.0154118	1.01747105	1.01787635	1.0185528	1.01435899	1.01479159	1.01646489	1.0145024	1.01205157	1.00930742	1.00518868	1.00802557	1.00910096	1.00800423	1.00889377	1.0093573	1.0111487
RR1_M22	M22_sol	RR-1	Space_Flight	soleus_muscle	1	1.00023756	1.00312319	1.00275832	1.00408181	1.00584508	1.00320529	1.00350038	1.00732149	1.00512969	1.00673914	1.00782752	1.00610516	1.0062423	1.00641018	1.00693017	1.00990182	1.00634811	1.00591124	1.00603038	1.00733709	1.01075389	1.00863074	1.00749692	1.00910052	1.01201453	1.01164914	1.01194718	1.0102217	1.00947538	1.00846048	1.00836402	1.00757408	1.00674396	1.00577217	1.00304433	1.00135782	1.00069775	1.00009935	0.99844524	0.99756957	0.9960943	0.99745127	0.99777297	0.99680214	0.99602559	0.99494952	0.99736923	0.99648249	0.99599886	0.99463764
RR1_M29	M29_sol	RR-1	Space_Flight	soleus_muscle	1	1.00303837	1.00615807	1.00730827	1.00812977	1.00994432	1.01173654	1.01131473	1.01015699	1.01164987	1.01176885	1.01061685	1.00849861	1.00625634	1.00572855	1.00373741	0.99895979	0.99755498	0.99579658	0.99743907	0.99830826	0.99906166	1.00078728	1.00241486	1.00154723	1.00225463	1.00199532	1.00132232	1.00350153	1.00398785	1.0036222	1.00305507	1.00467111	1.00573922	1.00796525	1.00599418	1.0066065	1.00775925	1.01099085	1.01050013	1.00808406	1.00667106	1.00741408	1.00740857	1.00623313	1.00665755	1.00938544	1.01119981	1.01003267	1.00686395	1.00670506
RR1_M30	M30_sol	RR-1	Space_Flight	soleus_muscle	1	0.99870459	0.99849363	0.99488566	0.99374972	0.98975724	0.98821369	0.98843776	0.98783828	0.98661498	0.98665533	0.98716642	0.99124813	0.99298314	0.99334289	0.99103966	0.98898467	0.99057163	0.98904011	0.98871715	0.98710312	0.98586496	0.98613859	0.9878393	0.98741507	0.98584597	0.98505718	0.98289782	0.98361682	0.98641498	0.98543361	0.98538896	0.98818368	0.9870213	0.98953272	0.98739252	0.98301209	0.98101503	0.97979636	0.97696723	0.97697164	0.97479352	0.97443348	0.97568154	0.97508862	0.97400541	0.97374704	0.97237737	0.97098719	0.97192991	0.96926941
RR9_Viv11	Viv11_sol	RR-9	Vivarium_Control	soleus_muscle	1	0.99914839	0.99846327	0.99822279	0.99924635	1.0000201	1.00094743	1.00036281	0.99908795	0.99810873	0.99814704	0.9980492	0.99748656	0.99680298	0.99637585	0.99689495	0.99673251	0.9971382	0.99598336	0.9954157	0.99640656	0.99697156	0.9977566	0.99854658	0.99851507	0.99863995	0.99880793	0.99965395	0.99956229	1.00049789	1.00110355	1.0015635	1.00276689	1.00370058	1.00327568	1.00321398	1.00323471	1.00480448	1.00494255	1.00556757	1.00610606	1.00481443	1.00474706	1.00417732	1.0050662	1.00348408	1.00288478	1.00181772	1.00187126	1.00190219	1.00206999
RR9_Viv12	Viv12_sol	RR-9	Vivarium_Control	soleus_muscle	1	1.00118654	1.0000184	0.99951358	0.99893081	0.9988966	0.9983675	0.99665527	0.99598335	0.99565729	0.99488525	0.99421721	0.99338087	0.99290979	0.99282082	0.9922964	0.99257249	0.99267503	0.99152815	0.99046579	0.98981098	0.99110541	0.99070467	0.99089256	0.99135551	0.99053324	0.99097541	0.99122026	0.9916357	0.99131117	0.99059939	0.98962135	0.98980091	0.98950968	0.98887866	0.98879575	0.98802709	0.98710413	0.98641882	0.9874122	0.98618732	0.98502955	0.98451402	0.98411171	0.9844741	0.98371789	0.98207228	0.98247562	0.98269151	0.9819873	0.98191899
RR9_Viv13	Viv13_sol	RR-9	Vivarium_Control	soleus_muscle	1	0.99929736	0.99965325	0.99779295	0.99718053	0.99750646	0.99592817	0.99420234	0.99719203	0.99587246	0.99617559	0.99595588	0.99420583	0.99296853	0.99077046	0.98975696	0.98794109	0.98755174	0.98688194	0.98588598	0.98588916	0.98562857	0.98540819	0.98580742	0.98529399	0.98562735	0.98619554	0.98616214	0.98633738	0.98686749	0.98762894	0.9878236	0.98803908	0.98726002	0.98634687	0.98576233	0.98648757	0.98633136	0.98698618	0.98609674	0.98593082	0.98603355	0.9855062	0.9837626	0.98372926	0.98363024	0.98292568	0.98233776	0.98290783	0.98395034	0.98213739
RR9_Viv14	Viv14_sol	RR-9	Vivarium_Control	soleus_muscle	1	1.00127605	1.0010638	1.00147148	1.00055053	1.00138533	1.00182958	1.00396183	1.00404335	1.00281366	1.00156046	1.00128413	1.00246106	1.00057535	0.99915221	0.99873078	0.99911006	0.9999322	1.00178643	1.00184374	1.00036448	0.99872873	0.99891055	0.99967222	1.00030385	1.00062954	0.99959396	0.99945403	1.00046113	1.00032889	1.00091784	1.00121119	0.99974357	0.9993749	1.00040688	1.000385	0.99956186	0.99849498	0.9992983	0.99847408	0.99869832	0.99947007	1.00061783	1.00147006	1.00190865	1.00167421	1.002647	1.00218981	1.00231905	1.0029794	1.0033795
RR9_Viv16	Viv16_sol	RR-9	Vivarium_Control	soleus_muscle	1	0.99844917	0.99805079	0.99667037	0.99590519	0.99533003	0.9934917	0.99298295	0.99210785	0.99129776	0.98958979	0.98832838	0.98936014	0.98851534	0.98782993	0.98775025	0.98747438	0.9869876	0.98697203	0.98656226	0.98654237	0.98596022	0.98616573	0.98461821	0.98525447	0.98463089	0.98370378	0.98396674	0.98446242	0.98456959	0.98429841	0.98445776	0.985131	0.98430593	0.98388294	0.98396447	0.98357288	0.98492521	0.98548357	0.98513574	0.98636276	0.98624313	0.98485631	0.98282759	0.98277743	0.98298734	0.98204536	0.98315059	0.98349953	0.98275139	0.98259443
